filename,psnr,ssim,abs_error
0839.png,35.50507354736328,0.9905005097389221,0.012434014119207859
0840.png,35.73223876953125,0.9961840510368347,0.010433311574161053
0841.png,28.537199020385742,0.9825280904769897,0.022466110065579414
0842.png,35.08612823486328,0.9972804188728333,0.011178056709468365
0843.png,34.64063262939453,0.9963927268981934,0.011319962330162525
0844.png,46.19578552246094,0.9995824098587036,0.002474510343745351
0845.png,40.966182708740234,0.9318244457244873,0.007150260265916586
0846.png,25.458328247070312,0.9737786054611206,0.034821514040231705
0847.png,30.958261489868164,0.9954047799110413,0.016248203814029694
0848.png,25.56602668762207,0.983395516872406,0.03292076662182808
0849.png,27.624704360961914,0.9867172837257385,0.02213534526526928
0850.png,31.876689910888672,0.991126298904419,0.012711341492831707
0851.png,33.109466552734375,0.9950922727584839,0.012845835648477077
0852.png,31.601974487304688,0.9835430979728699,0.01177010964602232
0853.png,37.226619720458984,0.9988933801651001,0.009127015247941017
0854.png,26.960819244384766,0.9785060286521912,0.031159782782197
0855.png,33.99973678588867,0.9936567544937134,0.015421800315380096
0856.png,28.141265869140625,0.963071882724762,0.027407022193074226
0857.png,36.76374816894531,0.9977973699569702,0.00911210011690855
0858.png,29.16194725036621,0.9894250631332397,0.024037381634116173
0859.png,27.910404205322266,0.9810275435447693,0.027031609788537025
0860.png,26.709604263305664,0.9878205060958862,0.02980855666100979
0861.png,24.927589416503906,0.9817809462547302,0.03613273426890373
0862.png,31.044509887695312,0.9867562055587769,0.021194785833358765
0863.png,31.929616928100586,0.9853419065475464,0.0166849996894598
0864.png,36.47096252441406,0.9950637221336365,0.010436050593852997
0865.png,31.03426170349121,0.9826651215553284,0.018149496987462044
0866.png,40.726810455322266,0.9918213486671448,0.007088799495249987
0867.png,30.068462371826172,0.9915384650230408,0.018025772646069527
0868.png,30.84954071044922,0.9940768480300903,0.017558759078383446
0869.png,25.50909996032715,0.9884688258171082,0.032006874680519104
0870.png,35.721248626708984,0.9966967105865479,0.011300470679998398
0871.png,33.72394943237305,0.9940100312232971,0.013004527427256107
0872.png,25.865509033203125,0.9787770509719849,0.030691837891936302
0873.png,26.236839294433594,0.9508901238441467,0.030681006610393524
0874.png,31.03999137878418,0.9953085780143738,0.01332857459783554
0875.png,26.95218276977539,0.9822725057601929,0.030299214646220207
0876.png,27.780569076538086,0.954636812210083,0.02571296878159046
0877.png,41.41519546508789,0.9993206858634949,0.004683051723986864
0878.png,35.848201751708984,0.9979197382926941,0.009861672297120094
0879.png,27.674705505371094,0.9861249923706055,0.024756141006946564
0880.png,34.62692642211914,0.9946508407592773,0.013095485977828503
0881.png,26.20237159729004,0.9762150645256042,0.03500187024474144
0882.png,27.123538970947266,0.9892710447311401,0.027592254802584648
0883.png,31.791271209716797,0.9931547045707703,0.01794895902276039
0884.png,27.598960876464844,0.9876083731651306,0.026197874918580055
0885.png,24.83530044555664,0.9412518739700317,0.041186992079019547
0886.png,36.40174865722656,0.9987708926200867,0.010092922486364841
0887.png,27.04602813720703,0.9879125356674194,0.02856042981147766
0888.png,35.918190002441406,0.9980388879776001,0.007970248349010944
0889.png,36.937747955322266,0.9976465106010437,0.008876325562596321
0890.png,28.34638214111328,0.9798067808151245,0.023242736235260963
0891.png,34.84920120239258,0.9959733486175537,0.008868005126714706
0892.png,33.98214340209961,0.9941089153289795,0.013152658939361572
0893.png,36.763031005859375,0.9717550277709961,0.010754596441984177
0894.png,39.5935173034668,0.9991275668144226,0.005147846415638924
0895.png,27.271326065063477,0.9843995571136475,0.029731549322605133
0896.png,40.791873931884766,0.9996678233146667,0.0066482629626989365
0897.png,26.072044372558594,0.9844415187835693,0.03388999402523041
0898.png,32.803279876708984,0.9961722493171692,0.014529354870319366
0899.png,33.89042663574219,0.9963157176971436,0.013132761232554913
0900.png,30.804779052734375,0.9951683282852173,0.01608089730143547
